2024-12-08T11:13:45.799+01:00  INFO 12840 --- [main] R.Onboarding.OnboardingApplication       : Starting OnboardingApplication using Java 21.0.1 with PID 12840 (C:\Users\yazan\Desktop\ordnen\Onboarding\target\classes started by yazan in C:\Users\yazan\Desktop\ordnen\Onboarding)
2024-12-08T11:13:45.811+01:00  INFO 12840 --- [main] R.Onboarding.OnboardingApplication       : No active profile set, falling back to 1 default profile: "default"
2024-12-08T11:13:47.206+01:00  INFO 12840 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-08T11:13:47.296+01:00  INFO 12840 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 77 ms. Found 2 JPA repository interfaces.
2024-12-08T11:13:48.165+01:00  INFO 12840 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8081 (http)
2024-12-08T11:13:48.187+01:00  INFO 12840 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-12-08T11:13:48.187+01:00  INFO 12840 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-12-08T11:13:48.261+01:00  INFO 12840 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-12-08T11:13:48.261+01:00  INFO 12840 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2379 ms
2024-12-08T11:13:48.495+01:00  INFO 12840 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-08T11:13:48.607+01:00  INFO 12840 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.5.3.Final
2024-12-08T11:13:48.674+01:00  INFO 12840 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2024-12-08T11:13:48.820+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@11e71181
2024-12-08T11:13:48.820+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@11e71181
2024-12-08T11:13:48.820+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@11e71181
2024-12-08T11:13:48.820+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@342beaf6
2024-12-08T11:13:48.820+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@342beaf6
2024-12-08T11:13:48.820+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration true_false -> org.hibernate.type.BasicTypeReference@222acad
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@222acad
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@56cfe6be
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@56cfe6be
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@7f0d8eff
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@7f0d8eff
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@7f0d8eff
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary -> org.hibernate.type.BasicTypeReference@149aa7b2
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@149aa7b2
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [B -> org.hibernate.type.BasicTypeReference@149aa7b2
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@3ca3648
2024-12-08T11:13:48.821+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@3ca3648
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration image -> org.hibernate.type.BasicTypeReference@2a99ca99
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration blob -> org.hibernate.type.BasicTypeReference@39f0c343
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@39f0c343
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@781654f8
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@2abc55c4
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@4e958f08
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@4e958f08
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@4e958f08
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration integer -> org.hibernate.type.BasicTypeReference@71c0b742
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration int -> org.hibernate.type.BasicTypeReference@71c0b742
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@71c0b742
2024-12-08T11:13:48.822+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@3bbb8c16
2024-12-08T11:13:48.823+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@3bbb8c16
2024-12-08T11:13:48.823+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@3bbb8c16
2024-12-08T11:13:48.823+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@73e1ecd0
2024-12-08T11:13:48.823+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@73e1ecd0
2024-12-08T11:13:48.823+01:00 DEBUG 12840 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@73e1ecd0
